tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,TheSuryak,[],2019-05-06,Mon,1125490097644756992,0,0,0.0
_MUFC He is but if we don’t fix the defense and midfield he’ll failed...,SebastienRault5,[],2019-05-06,Mon,1125489728512495616,0,0,-0.5
Choosy beggars don't want Dybala at utd Meanwhile martial rashford and lingard stink the place out with 4/10s everyweek Dybala is 100x better than anything we have going forward in our team He has a first touch for a start #mufc,RJD_MUFC,['mufc'],2019-05-06,Mon,1125489056199204865,1,0,0.25
Not to forget TMC’s Banerjee clan or NCP’s Pawars or RJD’s Yadavs It’s all a game of dynasty played across the Indian democracy.,Siddhartha1401,[],2019-05-06,Mon,1125484045004156928,0,0,-0.4
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,LakhanC69542196,[],2019-05-06,Mon,1125483129718763520,5,0,0.0
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,Nishantshah088,[],2019-05-06,Mon,1125480738432831488,0,0,0.0
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,RamaChaukidar,[],2019-05-06,Mon,1125480208289521664,0,0,0.0
WHAT RJD,stagelightsliam,[],2019-05-06,Mon,1125475444642312196,0,0,0.0
Who hanndle the rjd twiter handle Massive respect.,harishkhan9,[],2019-05-06,Mon,1125473327844171777,0,0,0.0
JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,Sanjeev81189431,[],2019-05-06,Mon,1125470552213168128,0,0,0.0
"LS 2019 elections,political leaders of NDA,BJP,Cong,BSP,SP,TMC,JDS,JUD,RJD,CPI(M violated Constn,Rep of Peoples Act&amp;Orders of Elec Comn.Unity of India hurt",skashamahajan,[],2019-05-06,Mon,1125465730848157698,0,0,0.0
_Sharma4 50 rest BSP+SP +TMC+RJD+AAP+CPIM+MIM+OTHERS BUT PM WILL BE A LADY FOR 2019...,7_RaceCourse,[],2019-05-06,Mon,1125462809200951297,1,0,0.0
5th phase Bihar Seats 5 Hajipur RJD Sitamadhi RJD Madhubani BJP (big mess by not giving ticket to shakil ahmad a congress leader now he z dismissed from congress hence fighting as independent ) Muzaffarpur 50-50 Saran RJD Mahagathbandhan 3/5 2014 BJP 3/5,dr_raghib,[],2019-05-06,Mon,1125461878296047621,0,0,-0.05833333333333333
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,RiteshhSShah,[],2019-05-06,Mon,1125459233892388866,2,0,0.0
_hch Mai ab almost lga rha hu idea ki ye 15 tak ja rha h RJD doing better than my expectations ..,sunil238174,[],2019-05-06,Mon,1125457966411522048,0,0,0.5
_rjd Going to start calling you ‘Post it,SamScott2271,[],2019-05-06,Mon,1125457784072482819,1,0,0.0
_shankar Gali Gali mei shor hai Rajiv Gandhi chor hai This slogan widely spread by current Congress allay like Mulayam Kanshiram Lalu and late Ch Devilal &amp VP Singh. So first Rajiv Gandhi must question SP BSP and RJD earlier all Janta Dal,vikrams19811,[],2019-05-06,Mon,1125457143639859200,19,3,-0.030000000000000006
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,VishalS09431180,[],2019-05-06,Mon,1125457133951115264,0,0,0.0
Ek khabar yeh hai mere pass ki ek bahut bade national daily ke saare editions ke editor ka ek meeting hua tha aaj. The editor of Patna daily reported 31 seats for NDA and 9 for RJD in Bihar. One of my friends was a party to the meeting,abhishek_hch,[],2019-05-06,Mon,1125457051918802944,1,0,-0.16666666666666666
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,Kailash57861754,[],2019-05-06,Mon,1125455587066597376,2,1,0.0
Before SP/BSP/RJD. cover particular area..and at that time people was blind trust on those patties nowadays scenario is looking change at some level. But Need more clutch on mafia of WB...so need bjp in power...,mr_hetal119,[],2019-05-06,Mon,1125454704190861313,0,0,0.055555555555555546
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,imgandhi21_,[],2019-05-06,Mon,1125454486099464192,0,0,0.0
So exhausted is it Friday yet?,RJD_29,[],2019-05-06,Mon,1125453560009904128,0,0,-0.4
_bhupendra Buddy I am from UP and in my profession I have 2 cover Bangalore 2 Guwahati(other NE states) Kolkata 2 Pune Patna 2 Chandigarh &amp I found a tremendous Modi wave all over regarding Cong is fighting in only 230 seats without any major alliance except NCP NC DMK &amp RJD.,ParthoS70210450,[],2019-05-06,Mon,1125453448688717824,0,0,0.13194444444444445
How have we gone from 5 dogs down to 3 in less than 2 weeks,rjd_92,[],2019-05-06,Mon,1125453421165842432,0,0,-0.16111111111111112
heartbroken and shocked,rjd_92,[],2019-05-06,Mon,1125453275824828419,0,0,-0.7
_rjd Knew you wouldn’t be able to resist,SamScott2271,[],2019-05-06,Mon,1125448531563642882,1,0,0.5
I don't know whether he is going to join rjd or not bt is it the scene of har ghar bijli shoubhagya yojna and so called 100 percent electrification?? If yes then horrible.,Jayjagdishkumar,[],2019-05-06,Mon,1125445068821635078,1,0,-1.0
"Ofcourse their is an end of middle man politics of rjd,tm,bsp etc.",8nul2ni6zTdMQNH,[],2019-05-06,Mon,1125442500619935748,1,0,0.0
ended iggy and rita omfg,jennyoIo,[],2019-05-06,Mon,1125438208362389505,3,0,0.0
And this slogan was coined by Left parties and was followed by other regional parties including RJD and they used filthiest adjectives for Rajiv Gandhi And now they are all in hand with congress party to defeat Natendra Modi So where is the congress sentiment for Rajiv Gandhi.,18_GPal,[],2019-05-06,Mon,1125436293574381574,1,0,-0.0625
He thinks he's in the airport with the Brazilian national team,RJD_MUFC,[],2019-05-06,Mon,1125436074619219968,3,0,0.0
It's 2019 everyone knows you can't just assume someone's gender anymore Sack him immediately,RJD_MUFC,[],2019-05-06,Mon,1125435641502818304,0,0,0.0
Spider-Man Homecoming guest-starring RJD Spider-Man Far From Home guest-starring Samuel L Jackson And finally Spider-Man Country Roads Take Me Home guest-starring ??,Gourgeist,[],2019-05-06,Mon,1125435351668076546,1,0,0.05
Why is it so hard for people to grasp that Jose being right about the Glazers and the Glazers sacking Jose can both be correct? Both only worried about themselves and a horrible fit for our club. #mufc,RJD_MUFC,['mufc'],2019-05-06,Mon,1125434571477213184,0,0,-0.12119047619047618
Brookes at the double #BSB,photography_rjd,['BSB'],2019-05-06,Mon,1125432423477587970,18,2,0.0
That MC legend came in a lantern tshirt to vote. RJD supporters are the best,WodehouseRock,[],2019-05-06,Mon,1125430556525780992,0,0,1.0
Cong-RJD will take Bihar back to lantern days Modi,ShanthaDevi7,[],2019-05-06,Mon,1125430382600409088,1,1,0.0
If the coalition government in India is sworn in then three Prime Ministers will take oath in one year and then Mayawati will say that I will be Prime Minister Akhilesh Woleyon I will be Prime Minister and then the people of RJD will vote for #sambitpatra4puri,AastitvJAMWAL,['sambitpatra4puri'],2019-05-06,Mon,1125429625230729216,1,0,0.0
Ur reporter gets slammed by a 10th fail RJD candidate and you start singing a Song against BJP ..,UpadhyayaSam,[],2019-05-06,Mon,1125429236968316928,0,0,-0.5
_vanak the aidmk RJD voter will vote for rahul shivsena voter will vote for modi &gt; If presidential election happened today i cant think of more than three candidates that will poll &gt 10 modi rahul &amp mayawati,nishant_kj,[],2019-05-06,Mon,1125426448695578625,0,0,0.5
Young RJD Leader : This person become Dy CM of Bihar without doing nothing. This person facing corruption charges &amp owned Hundread crore of at very young age without doing nothing. Also this is perfect example of Shameless Journalism. Mahagathbandan of Poli &amp Jour.,ABVIBHU,[],2019-05-06,Mon,1125425242845790211,2,0,0.41
Exclusive On the campaign trail with Tiranga TV RJD's speaks exclusively to,NewsHtn,[],2019-05-06,Mon,1125425013543149568,2,0,0.0
"Congress,SAD,AIADMK and RJD are only prominent parties in country which still working to procreate Modi-BJP govt not even as JDU OR I hope other leaders remain alerted #LokSabhaElections2019 #PHASE5 #CJIRANJANGOGOI #RamadanMubarak",umakantsingh_IN,"['LokSabhaElections2019', 'PHASE5', 'CJIRANJANGOGOI', 'RamadanMubarak']",2019-05-06,Mon,1125423912530128901,0,1,0.125
_Csgo _ You really are an A grade turnip aren’t you.,RjD_CS,[],2019-05-06,Mon,1125416942146400256,0,0,0.2
Next president of politicals parties JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,Pd_jharkhandi,[],2019-05-06,Mon,1125416921388576769,0,0,0.0
Ritchie Blackmore’s rainbow (the Dio years “still I’m sad (R.I.P RJD,monaloca,[],2019-05-06,Mon,1125406374043713537,1,0,-0.5
"_Nationalist _AAP who is handling RJD""s account",DeanOfJio,[],2019-05-06,Mon,1125405052473106438,0,0,0.0
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,ganesan_gv,[],2019-05-06,Mon,1125402594631794690,0,0,0.0
